"station";"datum";"uur";"windsnelheid";"neerslag";"bewolking"
310;"2022-07-14";1;2.0;0.0;8
310;"2022-07-14";2;3.0;0.0;8
310;"2022-07-14";3;3.0;0.0;7
310;"2022-07-14";4;3.0;0.0;7
310;"2022-07-14";5;3.0;0.0;2
310;"2022-07-14";6;2.0;0.0;0
310;"2022-07-14";7;2.0;0.0;8
310;"2022-07-14";8;3.0;0.0;8
310;"2022-07-14";9;3.0;0.0;8
310;"2022-07-14";10;2.0;0.0;8
310;"2022-07-14";11;2.0;0.0;1
310;"2022-07-14";12;4.0;0.0;1
310;"2022-07-14";13;5.0;0.0;1
310;"2022-07-14";14;5.0;0.0;0
310;"2022-07-14";15;6.0;0.0;0
310;"2022-07-14";16;7.0;0.0;1
310;"2022-07-14";17;7.0;0.0;1
310;"2022-07-14";18;7.0;0.0;7
310;"2022-07-14";19;6.0;0.0;5
310;"2022-07-14";20;6.0;0.0;3
310;"2022-07-14";21;4.0;0.0;1
310;"2022-07-14";22;4.0;0.0;5
310;"2022-07-14";23;2.0;0.0;0
310;"2022-07-14";24;2.0;0.0;2
